,Date,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Temp_Min,Temp_Max,Temp_Avg,Temp_Dew_Point,Temp_Wet_Bulb,Heat,Cool,CodeSum,Depth,PrecipTotal,StnPressure,SeaLevel,AvgSpeed,ResultDir,ResultSpeed,PrecipTotal_14
0,29/5/07,T002,41.95469,-87.800991,2,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
1,29/5/07,T007,41.994991,-87.769279,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
2,29/5/07,T015,41.974089,-87.824812,5,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
3,29/5/07,T045,41.9216,-87.666455,2,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
4,29/5/07,T046,41.891118,-87.654491,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
5,29/5/07,T048,41.867108,-87.654224,3,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
6,29/5/07,T049,41.896282,-87.655232,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
7,29/5/07,T050,41.919343,-87.694259,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
8,29/5/07,T054,41.921965,-87.632085,5,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
9,29/5/07,T086,41.688324,-87.676709,2,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
10,29/5/07,T091,41.862292,-87.64886,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
11,29/5/07,T094,41.720848,-87.666014,3,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
12,29/5/07,T096,41.731922,-87.677512,6,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
13,29/5/07,T129,41.891126,-87.61156,3,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
14,29/5/07,T143,41.999129,-87.795585,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
15,29/5/07,T148,42.01743,-87.687769,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
16,29/5/07,T153,41.907645,-87.760886,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
17,29/5/07,T159,41.732984,-87.649642,1,0,62.5,88,75.5,58.5,65.5,0,10.5,"['BR', 'HZ']",0,0,29.415,30.1,6.95,17,5.8,0.072142857
18,5/6/07,T002,41.95469,-87.800991,9,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
19,5/6/07,T009,41.981964,-87.812827,2,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
20,5/6/07,T011,41.944869,-87.832763,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
21,5/6/07,T015,41.974089,-87.824812,3,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
22,5/6/07,T016,42.011601,-87.811506,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
23,5/6/07,T019,41.94983,-87.698457,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
24,5/6/07,T025,41.979243,-87.750938,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
25,5/6/07,T028,41.986921,-87.689778,2,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
26,5/6/07,T031,41.801498,-87.763416,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
27,5/6/07,T033,41.906638,-87.701431,3,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
28,5/6/07,T045,41.9216,-87.666455,4,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
29,5/6/07,T046,41.891118,-87.654491,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
30,5/6/07,T048,41.867108,-87.654224,4,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
31,5/6/07,T049,41.896282,-87.655232,2,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
32,5/6/07,T050,41.919343,-87.694259,2,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
33,5/6/07,T054,41.921965,-87.632085,3,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
34,5/6/07,T086,41.688324,-87.676709,4,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
35,5/6/07,T089,41.723195,-87.64997,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
36,5/6/07,T090,41.868077,-87.666901,8,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
37,5/6/07,T092,41.869216,-87.627561,1,0,49,63.5,56.5,47.5,51.5,8.5,0,"['RA', 'BR']",0,0.345,29.13,29.785,7.85,4,5.7,0.156071429
